ring,particle,theta_rad,phi_rad,theta_dot,phi_dot
0,4,0.093061,0.388756,8.741712,29.315352
0,6,5.965194,0.411559,4.242926,11.471751
0,7,6.159838,0.367632,-17.563122,11.783226
0,8,3.188830,0.324817,1.957528,-33.690067
0,10,3.098098,1.491300,-17.297501,-46.081304
0,11,4.517607,5.931383,1.810381,-21.059233
0,12,3.191681,0.188333,-0.640356,53.850380
0,13,6.250146,0.828798,2.685678,-80.284504
0,16,3.294509,6.074226,6.321000,-10.759173
0,18,0.175103,0.291968,12.222593,29.929272
0,19,3.187538,6.062042,-8.006413,-70.359394
0,22,3.099166,0.566023,3.807631,-6.184746
0,23,6.243167,0.021904,13.959265,-0.488415
0,25,3.249155,0.212918,-0.693955,40.537925
0,27,2.945011,0.468652,-5.943475,7.440959
0,28,6.111877,0.891079,-2.305797,-84.259578
0,32,6.270464,1.083307,-7.332131,18.469257
0,33,0.013617,0.214518,-1.155519,-9.204603
0,36,6.000760,1.185494,4.830912,-29.896416
0,37,6.050948,0.912564,-1.596664,56.513673
0,42,3.218610,0.044415,4.927802,20.198208
0,44,3.380842,0.606202,-2.447652,2.859131
0,46,6.226603,0.191402,7.519013,-1.174352
0,50,3.273365,5.267489,-9.425977,12.979052
0,51,3.169756,0.173427,14.407600,30.350617
0,54,3.282553,0.066167,6.858328,43.394756
0,56,6.122865,0.827501,-14.488595,-5.115058
0,59,3.366657,0.887831,10.012529,20.580631
0,62,3.348775,5.988009,9.480379,-3.364550
0,63,0.054425,0.560898,25.485247,-19.499016
0,64,0.107496,0.460997,8.519955,-34.969314
0,65,3.180406,5.695151,-3.754909,-31.279093
0,68,3.209283,1.525887,27.460447,-4.935318
0,71,3.251862,0.702152,7.404090,-7.841823
0,76,2.888389,0.054690,-3.803301,-35.243331
0,77,6.071714,0.523847,4.867635,3.998130
0,78,3.085938,0.014037,-16.280488,19.879449
0,81,6.150765,6.083550,9.457016,-41.094178
0,82,6.242257,0.172993,-2.089203,-36.546882
0,83,3.166219,0.557329,-3.330824,35.982356
0,87,0.073913,0.899231,12.843644,4.594348
0,88,3.209521,6.053412,11.396183,49.794907
0,92,6.160785,0.039330,6.090099,6.026173
0,94,6.221681,5.587159,10.346279,-41.641087
0,95,6.277595,1.309642,5.423995,25.717192
0,97,3.132740,0.429377,10.562462,-15.249591
0,99,6.269345,0.211659,-1.336392,-9.317285
0,100,0.014269,0.436725,10.610125,69.265591
0,101,0.043962,0.200863,2.157609,-11.864244
0,102,3.112352,0.182670,-1.537572,47.758313
0,103,3.311379,0.950096,6.242119,-37.975253
0,109,6.135659,5.949696,-9.102366,-3.693536
0,110,6.204150,0.591693,-22.984326,-10.373796
0,113,6.280106,0.801295,3.369658,22.435280
0,116,0.023295,0.173749,-7.880702,13.244573
0,117,0.029796,0.203860,-14.500755,4.669740
0,118,6.252400,0.214888,-17.596643,44.355619
0,119,0.090274,0.896778,1.413020,67.420351
0,122,6.186060,0.403375,7.808840,-14.536759
0,125,3.134518,6.036366,-3.035346,0.157922
0,131,6.276996,0.251000,4.321057,15.486109
0,132,0.059860,0.330704,-3.949685,17.556412
0,133,3.084096,0.386951,-5.716739,5.815504
0,134,6.243260,0.304387,5.306975,-15.038086
0,135,0.081704,0.185845,-7.788975,28.212989
0,136,6.274842,6.276014,13.553936,-2.912761
0,138,0.091272,1.332394,8.339513,19.294140
0,139,2.997241,1.284686,6.943248,14.916922
0,144,5.993159,0.433979,-4.980331,-17.344587
0,145,0.214126,0.447909,-1.320206,17.913575
0,148,0.060605,1.428751,0.994506,51.100835
0,149,0.002335,0.184111,-11.996121,-6.251032
0,150,3.284676,0.395721,6.366206,42.437965
0,151,3.196685,5.309828,-7.001097,11.283966
0,156,3.253095,1.766843,5.626577,20.035161
0,158,3.284304,0.589990,5.375124,-4.594669
0,160,3.304605,1.005053,19.389549,-39.942978
0,162,0.043742,0.164418,13.206861,0.769257
0,163,0.014191,0.633467,-4.581084,-47.604266
0,164,3.221320,0.835225,-3.924075,34.968668
0,168,6.134651,1.345559,15.502083,91.051084
0,171,3.124035,0.883189,-12.689120,36.612866
0,172,0.012586,0.360817,-14.272418,-29.912396
0,173,0.207065,1.484220,-7.176211,-8.380121
0,174,0.038341,0.329741,-9.786742,-22.047832
0,177,3.071624,1.186870,11.410824,-13.930949
0,178,6.144887,0.268425,-4.063686,-25.996000
0,179,2.658012,6.061893,2.618844,-25.966625
0,181,3.267832,0.418651,6.572274,13.919488
0,182,6.210875,5.473076,-0.185292,13.140796
0,184,2.979953,5.968681,-15.590037,-46.825436
0,185,3.098077,5.011150,-4.416428,-67.274216
0,186,2.887633,4.979973,-25.829211,-19.237446
0,187,6.256203,0.297287,-4.813587,1.405802
0,189,3.036368,0.615683,5.292058,-9.431221
0,190,3.228460,1.699749,-0.232327,69.708700
0,193,6.282757,0.516383,1.197788,-2.337701
0,194,0.022236,0.093805,-3.608580,-22.010674
0,195,0.039978,0.149501,-3.156258,41.313835
0,196,6.263890,0.182718,-1.870755,-56.384187
0,199,3.208838,0.586754,11.498266,-32.555140
0,200,0.092667,0.185240,5.731774,-79.988201
0,201,0.008101,0.610793,-8.788896,-32.062310
0,203,0.049863,6.154261,2.699760,-43.402415
0,204,3.387893,5.236492,5.815796,-13.378435
0,206,3.184174,0.049142,7.111895,-1.197009
0,207,3.315923,5.860097,3.876174,-36.309165
0,210,3.224934,0.253089,-16.489428,-24.781352
0,212,3.101251,0.782563,-5.213853,-25.942014
0,213,3.148683,6.249286,8.120927,-42.237940
0,214,6.255045,0.189264,-2.882881,23.184032
0,215,0.035501,5.307638,1.050554,10.291535
0,216,3.327566,5.900864,-1.499390,31.742621
0,220,0.091389,0.179967,2.086838,25.294547
0,221,0.179151,6.217096,-0.820504,-2.654632
0,222,6.259753,0.410904,8.139147,-13.460170
0,223,6.134070,1.093437,-1.000958,4.611612
0,224,0.163909,0.764546,-2.320922,5.734342
0,225,6.171017,0.224618,3.416547,-85.665205
0,228,6.213864,1.136244,13.667207,32.892959
0,230,0.225356,0.345862,-0.974316,8.207889
0,233,2.957699,0.358791,-9.926234,7.080320
0,234,0.011383,0.731830,10.675220,-16.508513
0,235,6.263265,6.240827,1.277461,8.286919
0,236,3.017640,0.087757,0.910649,-14.835135
0,237,6.203132,0.316888,-9.204031,-35.271984
0,238,6.264720,0.256435,-15.090125,-24.971289
0,239,6.215816,0.844870,-4.288837,33.236320
0,240,0.093744,0.083850,5.533377,22.326132
0,242,6.087184,0.808922,-1.539048,24.411252
0,243,0.158642,0.309167,10.420800,-9.816718
0,244,3.241769,0.505160,18.254383,30.856490
0,249,3.084257,1.210459,-9.410744,36.034680
0,250,3.007819,6.053611,10.377434,33.931143
0,254,0.053395,6.167204,-17.221198,-15.871734
0,259,3.236219,0.341368,10.626077,15.629537
0,261,6.001426,1.383929,11.566374,63.536380
0,263,3.336748,0.015996,12.324446,-35.623053
0,265,0.159802,1.351187,20.533342,-34.408492
0,268,6.216958,0.826760,-10.826897,33.474733
0,271,6.235342,0.616568,1.130902,-14.553251
0,272,6.214995,6.277824,9.551724,-50.957378
0,275,3.163604,0.237749,-14.054219,-8.576944
0,276,6.165602,0.769851,0.551378,-11.307158
0,277,3.052606,6.005636,0.840385,-13.633022
0,279,0.111032,0.106147,-5.179287,-19.981739
0,280,0.032130,0.481374,4.014558,27.669050
0,281,0.242137,0.837645,10.282485,11.608001
0,282,2.923135,1.705073,8.519898,-1.042171
0,286,0.025571,0.543366,-3.608804,-43.401090
0,287,0.080706,0.026939,-7.095014,-24.183404
0,288,3.054067,0.241012,-4.620955,-30.151511
0,289,3.001138,5.699788,4.153001,-63.241455
0,291,5.938933,0.763365,-0.544213,11.249865
0,292,0.046323,0.514349,24.994084,36.827451
0,295,6.269203,0.971287,-7.737168,39.811351
0,297,6.190097,0.299266,4.992568,8.020960
0,298,0.056478,5.949488,2.111833,23.339364
0,299,0.003675,1.463750,0.426952,58.411106
0,301,3.251331,0.439944,1.288091,-29.649386
0,302,3.299054,6.141221,8.632141,-10.080047
0,303,6.210504,0.212985,-18.121044,17.881540
0,304,3.286392,0.441240,10.611818,36.269625
0,307,3.235549,5.142238,0.154034,-38.444827
0,310,3.272873,5.949150,7.961020,19.599747
0,315,0.194285,0.123398,-0.040060,-9.297894
0,316,6.079007,1.216342,-8.967812,25.480614
0,317,0.066051,0.342068,1.006216,-1.009102
0,323,6.181631,0.634456,-17.669511,20.266648
0,326,6.067223,0.308163,8.881600,-8.646872
0,328,6.258766,1.019763,-25.625802,10.284111
0,330,0.032812,6.121247,0.188212,-6.739381
0,331,6.152822,0.105502,-16.572015,-52.256012
0,332,5.995239,6.229020,-0.660310,26.566656
0,333,3.151413,0.876185,18.313241,15.209527
0,335,6.146290,0.112936,8.192923,6.222846
0,337,3.294128,0.210193,-7.662244,-6.788997
0,339,0.013650,0.309174,5.354596,-4.255570
0,341,3.201530,0.677623,0.972538,-17.986322
0,342,0.145012,0.531843,-14.788866,-33.455078
0,343,6.105434,0.379978,-2.766198,51.874038
0,344,3.138153,5.374053,10.004376,-8.638646
0,345,0.100076,0.456367,4.500960,55.553469
0,347,3.247500,0.113546,-9.511929,10.175492
0,350,6.182949,0.875042,9.943358,-44.145108
0,355,0.051030,0.944153,8.649507,36.917191
0,357,6.251806,1.053099,-7.820647,12.020531
0,360,3.225943,0.513123,14.714039,2.500645
0,364,6.137465,0.475701,-0.951084,28.677787
0,365,3.200930,0.199663,-20.524265,16.408514
0,366,3.013623,1.348195,10.942230,-40.253952
0,368,0.144974,6.047855,6.062298,-65.755213
0,369,3.116051,6.026693,12.736997,-32.189270
0,370,3.303197,5.844858,9.745257,-35.125579
0,371,6.150540,1.970675,16.040145,47.242289
0,372,0.134689,0.318627,5.084914,-10.998245
0,373,0.117479,5.401632,2.085080,39.766331
0,377,0.097243,0.007027,8.234190,-48.986174
0,379,0.109617,6.101786,-5.469090,-77.469924
0,382,6.265640,0.456209,-7.906016,-28.772144
0,384,3.165696,0.329501,1.025985,28.101569
0,389,6.180313,1.323128,17.157732,2.900749
0,391,0.072952,6.079965,0.691961,-14.391349
0,393,3.068698,5.970280,-4.946124,-34.275174
0,395,2.934561,1.145478,-2.568469,0.680395
0,399,6.118834,0.815476,-7.151422,69.795787
1,0,3.277121,3.048210,-14.899150,13.196083
1,1,6.263682,4.369989,-21.221934,-18.724497
1,2,6.156984,3.903451,4.247499,33.559007
1,3,3.066110,4.586067,-1.731869,51.197061
1,5,0.256188,3.738429,41.403585,77.369671
1,9,0.114021,3.263797,15.032623,-61.086879
1,14,3.043088,4.155858,15.574487,43.919407
1,15,6.139571,4.112303,2.062648,-9.315012
1,17,3.323983,3.295244,-18.986629,26.188444
1,20,6.167890,3.518602,-20.762409,-16.608645
1,21,0.094685,3.964216,-18.411919,37.896778
1,24,0.029479,3.396444,3.153483,25.004130
1,26,6.230861,3.792311,-19.051148,-34.254068
1,29,6.165669,4.397762,-38.106763,-9.666022
1,30,0.183168,4.211438,7.301497,-32.328527
1,31,3.083065,3.230163,-12.444506,27.291725
1,34,3.105084,4.702235,15.876011,3.189083
1,35,3.162801,3.272597,-0.452495,33.996010
1,38,3.185354,3.743295,27.315870,19.662559
1,40,0.206763,4.370170,10.845564,62.518418
1,43,2.801734,3.848276,18.540176,35.975716
1,45,3.030471,3.226435,-24.261936,-12.750640
1,47,6.181110,3.084451,-30.564682,-34.169987
1,48,0.137395,4.129155,35.498746,6.465412
1,49,3.046847,2.892081,-33.235205,-16.168976
1,53,0.201988,2.444203,6.432636,26.546528
1,55,6.186410,4.019312,5.064237,2.692833
1,57,6.151679,3.173786,-26.668395,-18.983354
1,58,3.116655,2.580495,-14.210536,-21.390019
1,60,3.454195,4.258985,-0.507037,27.281851
1,61,0.112589,3.834425,-5.310352,-2.977992
1,66,0.003531,3.696716,-12.385455,12.957504
1,67,3.226794,3.109528,-19.570492,10.816148
1,69,3.357546,3.014148,58.443880,-56.318664
1,70,0.082919,4.184858,25.958158,-6.140970
1,72,3.215954,3.121931,-14.402804,16.127890
1,73,6.129602,3.605901,7.444156,17.907815
1,74,3.097189,4.066650,-7.839790,78.954900
1,75,6.217029,3.041361,34.414400,1.635064
1,79,3.168454,3.345752,-13.588435,74.458601
1,84,3.051763,3.813449,-46.271435,61.011208
1,85,3.391468,3.141732,28.524268,59.825458
1,86,0.117807,3.543857,-5.384540,11.782414
1,89,6.174815,3.332115,-9.697702,4.062147
1,90,3.007221,3.866032,-19.407280,-24.374652
1,91,6.234098,4.466830,-7.440936,17.755055
1,93,6.280258,3.613646,7.967809,78.425011
1,96,3.230323,3.274323,-20.885781,-23.650287
1,98,0.225791,3.834042,-10.356035,-16.342629
1,104,6.134209,3.231635,15.631024,46.472484
1,105,6.121636,4.146057,11.810644,-20.858303
1,106,3.085943,3.016855,-12.911198,23.827149
1,107,3.345408,3.416866,37.280056,17.710241
1,108,6.210674,4.330786,-12.964521,-24.698339
1,111,3.072510,3.245370,-27.844515,-10.850869
1,112,3.152970,3.326951,13.850852,14.341555
1,114,3.306847,3.774415,39.192769,24.030613
1,115,6.085853,2.761670,-4.345343,-26.686252
1,120,3.093620,3.461674,-59.821811,4.244428
1,121,2.883259,3.834260,11.106345,40.356540
1,123,6.218326,3.235960,-3.048147,16.461842
1,124,0.130779,3.759696,8.883275,-28.559703
1,126,3.238410,4.506020,9.697953,22.362331
1,127,3.176499,3.790633,2.926266,-13.496231
1,128,3.157723,4.424088,26.400683,17.218355
1,129,3.390290,1.771406,-12.948182,-13.782813
1,130,0.059241,3.523971,15.998527,58.001898
1,137,0.086595,3.795833,-9.058954,-32.800185
1,140,3.108953,3.246560,8.949751,0.095168
1,141,0.119428,4.162713,6.217028,12.805752
1,142,3.149337,3.083996,33.019309,39.374061
1,143,0.163095,3.508209,-31.626964,-59.820366
1,146,3.224142,3.089674,10.864515,-66.149295
1,147,3.218298,3.172591,20.943859,7.271312
1,152,3.218739,3.479311,7.190586,48.982053
1,153,3.486092,1.824600,3.111349,1.989166
1,154,3.248680,3.211107,-19.577736,-32.325612
1,155,0.073440,4.798586,4.008267,39.885884
1,157,6.098049,4.352164,-7.547947,-30.747950
1,159,2.803778,4.032341,-9.662836,29.875567
1,161,3.108698,3.699812,-19.603994,29.909551
1,165,3.059003,4.230583,4.147591,-56.918103
1,166,0.006044,3.200789,3.993753,10.619576
1,167,3.122090,3.040103,-13.183474,-47.959453
1,169,5.965972,4.535794,-5.150737,12.171040
1,170,3.132460,3.776382,-30.825297,6.625937
1,175,0.020509,3.826152,1.283308,-42.565845
1,176,6.228215,3.453060,-7.685815,-11.949049
1,180,2.974133,4.563420,-21.954201,-10.595794
1,183,3.252807,2.863252,34.806722,-7.199341
1,188,3.161715,3.927322,-15.469096,-26.743640
1,191,6.269862,4.395575,-43.921329,37.734583
1,192,2.910289,4.175478,-19.574272,33.699584
1,197,3.231281,3.503610,25.292761,36.968182
1,198,3.316344,4.587729,17.224650,-15.452733
1,202,3.303156,2.843507,47.300431,-34.075085
1,205,0.025317,2.483780,-17.009095,14.313940
1,208,0.167948,2.913055,24.042189,-14.281735
1,209,0.150021,4.275224,17.630190,-1.635822
1,211,3.065887,4.702208,18.485111,42.823663
1,217,0.139158,3.826576,22.898188,-0.341013
1,218,0.048644,3.996109,-18.505207,-74.743110
1,226,3.034751,2.703180,-12.307333,2.045995
1,227,5.756685,4.500024,-2.849347,34.875327
1,229,3.105963,3.317824,10.018328,50.556967
1,231,3.074944,3.251955,-5.874991,5.431282
1,232,3.093633,3.229768,6.561123,-20.115734
1,241,0.381798,3.461094,-8.244245,-30.338189
1,245,0.177619,3.262738,-14.689782,15.676102
1,246,3.095979,3.088685,0.459977,-6.115240
1,247,0.040626,3.276004,11.563759,-46.001681
1,248,0.017455,3.575666,14.887915,-9.164898
1,251,0.314477,4.199764,-1.702475,-0.286894
1,252,3.262161,3.577881,31.274557,4.002069
1,253,6.053917,3.203775,5.868811,-6.028522
1,255,0.193445,3.197955,14.706788,-2.084096
1,256,5.934069,2.248943,-16.670376,-12.120854
1,257,6.138762,3.421063,-21.585280,-6.651121
1,258,3.146373,4.624973,-9.263188,-3.508441
1,260,3.118296,3.797869,11.206367,-20.601769
1,262,3.270658,3.676386,35.049247,17.260886
1,264,5.959469,3.341558,3.253411,-20.098821
1,266,6.275503,2.845125,-5.829377,-2.578311
1,267,3.229871,4.477450,19.567997,2.886148
1,269,6.156368,3.491033,9.635667,-16.298549
1,270,0.082448,3.774236,-5.734113,-29.067503
1,273,3.219770,3.356632,-8.074382,-29.484958
1,274,6.251797,3.436185,-11.815772,19.339781
1,278,0.016166,4.589139,30.033256,16.860894
1,283,3.225216,3.084580,42.109981,-35.600144
1,284,3.292472,3.155370,33.841245,9.049265
1,285,0.079682,3.195021,12.298726,22.092446
1,290,2.791910,4.147144,4.229042,75.937772
1,293,3.167238,3.418477,-1.820338,-18.256311
1,294,6.162340,3.591884,-26.526682,-36.242174
1,296,3.329345,4.070168,-15.482121,-50.167600
1,300,0.114283,3.668259,46.171121,-68.145907
1,305,3.259139,3.223984,-18.288015,-4.994928
1,306,3.045279,3.892437,12.359777,59.374771
1,308,3.006995,3.772222,-30.484651,-0.166627
1,309,3.078784,3.921492,-32.903135,4.106936
1,311,3.031501,3.353622,2.087376,-48.683759
1,312,3.073233,3.794321,-30.030174,28.537553
1,313,0.238346,4.112997,25.511199,-66.026205
1,314,3.035318,4.174536,-23.910122,45.038030
1,318,3.434591,3.949940,12.305365,-11.938172
1,319,3.169143,3.125302,11.788766,-43.418920
1,320,0.041104,3.498046,-8.623735,-16.548317
1,321,3.121124,3.639078,-18.731848,45.425121
1,322,0.085633,3.617734,-31.647891,-11.243535
1,324,0.156962,3.812839,29.600477,11.125208
1,325,0.236866,4.084227,33.497003,-37.777795
1,327,3.254129,3.091716,21.925964,-56.577381
1,329,0.034994,4.059378,-7.976101,-13.763701
1,334,3.265638,3.335055,-5.107414,2.773591
1,336,3.247667,3.937809,-8.009599,-11.074357
1,338,3.191905,3.972843,0.779406,-0.220439
1,340,3.362433,3.264938,16.151274,-26.559833
1,346,3.380541,3.969383,28.775450,25.065485
1,348,6.200068,3.545762,-13.264540,35.857500
1,349,3.301006,3.432711,-2.475413,-14.293460
1,351,3.363996,3.220308,-9.536695,-16.654776
1,352,2.970859,3.280245,-68.683850,28.210865
1,353,3.134056,3.552968,-6.317128,48.534526
1,354,2.943514,4.556142,-25.110293,50.863780
1,356,0.087005,4.033634,18.704329,62.100751
1,358,3.018541,3.577348,-29.784889,-4.489439
1,359,3.262300,3.477675,-7.502819,27.709518
1,361,3.169617,2.500768,6.472744,48.359684
1,362,3.183514,3.661936,-2.620807,-46.844702
1,363,3.451150,2.739107,15.137037,-7.470138
1,367,3.007306,4.229735,-29.328679,41.348293
1,374,3.144986,3.966553,12.183982,9.401780
1,375,2.233146,4.492045,4.303323,47.321313
1,376,3.144965,3.804532,-1.815008,102.744004
1,378,6.136792,4.292781,-1.992656,-7.349316
1,380,3.084392,4.045775,-17.621391,-19.410150
1,381,2.796556,4.010003,-12.537949,8.367941
1,383,2.985057,4.306924,-18.618650,-14.082398
1,385,3.083434,3.771790,3.597649,22.971511
1,386,3.070370,3.705617,-7.032672,-3.651408
1,387,3.449371,3.496316,36.684647,-33.291212
1,388,3.059748,3.737774,-20.637780,85.323389
1,390,0.137483,3.324100,0.545172,-62.996368
1,392,0.119628,3.082258,-6.003757,-15.615135
1,394,0.192778,3.327601,-8.093029,25.632590
1,396,3.074250,3.256865,-15.592745,-3.748358
1,397,0.130378,3.894890,7.779917,2.799453
1,398,3.233590,3.968230,-4.368714,0.939518
